skill_from,skill_to,similarity_weight
skill_002,skill_011,0.9
skill_002,skill_012,0.9
skill_002,skill_013,0.9
skill_002,skill_014,0.95
skill_010,skill_002,0.85
skill_011,skill_096,0.85
skill_001,skill_015,0.85
skill_001,skill_016,0.85
skill_001,skill_021,0.9
skill_001,skill_023,0.85
skill_021,skill_022,0.85
skill_023,skill_024,0.9
skill_023,skill_026,0.9
skill_023,skill_025,0.95
skill_023,skill_027,0.85
skill_026,skill_028,0.85
skill_026,skill_029,0.85
skill_027,skill_028,0.75
skill_027,skill_029,0.75
skill_030,skill_032,0.8
skill_024,skill_031,0.8
skill_033,skill_035,0.95
skill_033,skill_036,0.9
skill_034,skill_037,0.9
skill_034,skill_038,0.9
skill_034,skill_043,0.85
skill_041,skill_042,0.8
skill_044,skill_045,0.85
skill_044,skill_047,0.9
skill_044,skill_050,0.8
skill_045,skill_051,0.85
skill_045,skill_052,0.8
skill_046,skill_050,0.85
skill_047,skill_057,0.85
skill_048,skill_049,0.8
skill_053,skill_044,0.75
skill_054,skill_055,0.9
skill_054,skill_056,0.9
skill_054,skill_057,0.9
skill_055,skill_057,0.85
skill_056,skill_063,0.8
skill_057,skill_044,0.85
skill_058,skill_059,0.8
skill_059,skill_060,0.85
skill_061,skill_056,0.8
skill_062,skill_043,0.8
skill_064,skill_065,0.85
skill_064,skill_103,0.9
skill_065,skill_023,0.8
skill_066,skill_067,0.85
skill_066,skill_074,0.9
skill_067,skill_068,0.9
skill_068,skill_074,0.8
skill_069,skill_074,0.85
skill_070,skill_071,0.85
skill_072,skill_073,0.8
skill_075,skill_076,0.85
skill_075,skill_078,0.8
skill_076,skill_080,0.85
skill_077,skill_078,0.85
skill_078,skill_079,0.9
skill_081,skill_087,0.7
skill_082,skill_087,0.7
skill_083,skill_087,0.7
skill_084,skill_087,0.7
skill_088,skill_089,0.85
skill_088,skill_090,0.9
skill_088,skill_091,0.85
skill_092,skill_093,0.75
skill_089,skill_046,0.75
skill_002,skill_096,0.85
skill_011,skill_096,0.9
skill_099,skill_100,0.85
skill_098,skill_099,0.8
skill_101,skill_102,0.85
skill_017,skill_019,0.8
skill_017,skill_020,0.8
skill_030,skill_054,0.75
skill_032,skill_054,0.7
skill_042,skill_043,0.8
skill_051,skill_054,0.8
